Sample ID,Species,State,Project,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 1000 uL, use whole sample)",Amount of TE to add,Normalized (Letter for rack for yes),Library made,Note,Collector,Collector number,Locality,County,State,,Latitude,Longitude,Source,,,Verbatim latitude,Verbatim longitude
H62:2,Heuchera americana var. hirsuticaulis,MO,genus,,9.06,8.78,8.92,8920,56.05,Vacuum centrifuge then add 25 uL,,2/6/20,Also did the Nick duplicate of this,,,,,,,37.19118,89.63458,,,,,
H62:3,Heuchera americana var. hirsuticaulis,MO,genus,,1.05,1.02,1.035,1035,483.09,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,37.19118,89.63458,,,,,
H62:4,Heuchera americana var. hirsuticaulis,MO,genus,,7.18,6.99,7.085,7085,70.57,Vacuum centrifuge then add 25 uL,,2/6/20,Also did the Nick duplicate of this,,,,,,,37.19118,89.63458,,,,,
H62:5,Heuchera americana var. hirsuticaulis,MO,genus,,20.3,20.4,20.35,20350,24.57,0.43,,2/6/20,,,,,,,,37.19118,89.63458,,,,,
H62:6,Heuchera americana var. hirsuticaulis,MO,genus,,8.07,8.03,8.05,8050,62.11,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,37.19118,89.63458,,,,,
H63:2,Heuchera alba,WV,genus,,7.37,7.32,7.345,7345,68.07,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,63,"Along Hwy 55 3 mi W of Onego, WV, USA",,,,38.8742028,-79.467308,,,,38°52'27.13 N,"79°28'2.31"" W"
H64:2,Heuchera alba,WV,genus,,7.46,7.45,7.455,7455,67.07,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,64,"Pendleton County, WV, USA",,,,38.9091278,-79.271067,,,,"38°54'32.86"" N","79°16'15.84"" W"
H66,Heuchera longiflora var. longiflora,KY,genus,,12,12,12,12000,41.67,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,37.773981,-83.680942,,,,,
H67:1,Heuchera longiflora var. longiflora,OH,genus,,4.03,3.89,3.96,3960,126.26,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,38.7886111,-83.395833,,,,"38°47'19""","83°23'45"""
H71,Heuchera americana var. americana,OH,genus,,7.24,7.08,7.16,7160,69.83,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,38.576956,-82.335822,,,,,
H75:1,Heuchera villosa var. macrorhiza,KY,genus,,1.97,1.9,1.935,1935,258.40,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,37.8483333,-82.355833,,,,"37°50'54""","-83°38'39"""
H75:2,Heuchera villosa var. macrorhiza,KY,genus,,8.99,8.86,8.925,8925,56.02,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,37.8483333,-82.355833,,,,"37°50'54""","-83°38'39"""
H78:2,Heuchera villosa var. macrorhiza,OH,genus,,1.55,1.53,1.54,1540,324.68,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,78,"Long Lick Road, Shawnee State Forest, OH, USA",,,,38.6614111,-83.347211,,,,"38°39'41.08"" N","83°20'49.96"" W"
H78:3,Heuchera villosa var. macrorhiza,OH,genus,,8.59,8.5,8.545,8545,58.51,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,78,"Long Lick Road, Shawnee State Forest, OH, USA",,,,38.6614111,-83.347211,,,,"38°39'41.08"" N","83°20'49.96"" W"
H83:C,Heuchera americana var. americana,OH,genus,,16.4,16.2,16.3,16300,30.67,Vacuum centrifuge then add 25 uL,,2/6/20,,,,"Clifton Gorge, on a manmade rock wall on side of SR 370, just north of parking lot. Mosses (incl. Anomodon rostratus and Eurhynchium hians), Sedum ternatum, Lonicera, Alliaria petiolata, Pilea pumila, Asplenium, Solidago, Geum, Aster, mixed deciduous maple-oak woods.",Greene,OH,,39.784444,-83.864167,,,,,
H86:C,Heuchera americana var. americana,OH,genus,,9.47,9.49,9.48,9480,52.74,Vacuum centrifuge then add 25 uL,,2/6/20,,,,Honey Run Falls,Knox,OH,,40.382449,-82.265668,,,,,
